#=================================================================================================================================
#Class				Year	Model					Part Type	Part Description	Regex			Range Start	Range End
#=================================================================================================================================
A Range				1959	A7						Engine		Engine				^ca7-(\d+)$		5867	7100
A Range				1959	A7SS					Engine		Engine				^ca7ss-(\d+)$	5425	6700
A Range				1959	A10						Engine		Engine				^da10-(\d+)$	4616	7800
A Range				1959	A10RR					Engine		Engine				^ca10r-(\d+)$	8193	99999
A Range				1959	A7						Frame		Swing arm			^fa7-(\d+)$		8522	99999
A Range				1959	A7SS					Frame		Swing arm			^fa7-(\d+)$		8522	99999
A Range				1959	A10						Frame		Swing arm			^fa7-(\d+)$		8522	99999
A Range				1959	A10RR					Frame		Swing arm			^fa7-(\d+)$		8522	99999
A Range				1960	A7						Engine		Engine				^ca7-(\d+)$		7101	8500
A Range				1960	A7SS					Engine		Engine				^ca7ss-(\d+)$	6701	8000
A Range				1960	A10						Engine		Engine				^da10-(\d+)$	7801	13200
A Range				1960	A10RR					Engine		Engine				^da10r-(\d+)$	101		3000
A Range				1960	A7						Frame		Swing arm			^ga7-(\d+)$		101		1110
A Range				1960	A7SS					Frame		Swing arm			^ga7-(\d+)$		101		1110
A Range				1960	A10						Frame		Swing arm			^ga7-(\d+)$		101		1110
A Range				1960	A10RR					Frame		Swing arm			^ga7-(\d+)$		101		1110
A Range				1961	A7						Engine		Engine				^ca7-(\d+)$		8501	9713
A Range				1961	A7SS					Engine		Engine				^ca7ss-(\d+)$	8001	9276
A Range				1961	A10						Engine		Engine				^da10-(\d+)$	13201	17180
A Range				1961	A10RR					Engine		Engine				^da10r-(\d+)$	3001	5957
A Range				1961	A7						Frame		Swing arm			^ga7-(\d+)$		11101	21119
A Range				1961	A7SS					Frame		Swing arm			^ga7-(\d+)$		11101	21119
A Range				1961	A10						Frame		Swing arm			^ga7-(\d+)$		11101	21119
A Range				1961	A10RR					Frame		Swing arm			^ga7-(\d+)$		11101	21119
A Range				1962	A7						Engine		Engine				^ca7-(\d+)$		9714	99999
A Range				1962	A7SS					Engine		Engine				^ca7ss-(\d+)$	9277	99999
A Range				1962	A10						Engine		Engine				^da10-(\d+)$	17181	99999
A Range				1962	A10RR					Engine		Engine				^da10r-(\d+)$	5958	99999
A Range				1962	A7						Frame		Swing arm			^ga7-(\d+)$		21120	99999
A Range				1962	A7SS					Frame		Swing arm			^ga7-(\d+)$		21120	99999
A Range				1962	A10						Frame		Swing arm			^ga7-(\d+)$		21120	99999
A Range				1962	A10RR					Frame		Swing arm			^ga7-(\d+)$		21120	99999
#=================================================================================================================================
#Class				Year	Model					Part Type	Part Description	Regex			Range Start	Range End
#=================================================================================================================================
A Range				1953	A10 Super Flash			Engine		Engine				^ba10s-(\d+)$	101		700
A Range				1953	A10 Super Flash			Frame		Super Flash			^ba10-(\d+)$	101		101
A Range				1954	A10 Super Flash			Engine		Engine				^ba10s-(\d+)$	701		99999
A Range				1954	A10 Super Flash			Frame		Super Flash			^ba10s-(\d+)$	701		99999
A Range				1959	A10 Super Flash			Engine		Engine				^ca10sr-(\d+)$	776		99999
A Range				1959	A10 Super Flash			Frame		Spitfire			^fa7a-(\d+)$	101		10387
A Range				1960	A10 Super Flash			Engine		Engine				^da10sr-(\d+)$	101		400
A Range				1960	A10 Super Flash			Frame		Spitfire			^ga7a-(\d+)$	101		400
A Range				1961	A10 Super Flash			Engine		Engine				^da10sr-(\d+)$	401		5957
A Range				1961	A10 Super Flash			Frame		Spitfire			^ga7a-(\d+)$	401		535
A Range				1962	A10 Super Flash			Engine		Engine				^da10sr-(\d+)$	5958	8196
A Range				1962	A10 Super Flash			Frame		Spitfire			^ga7a-(\d+)$	536		747
A Range				1962	A10 Super Flash			Frame		RGS					^ga10-(\d+)$	101		389
A Range				1963	A10 Super Flash			Engine		Engine				^da10sr-(\d+)$	8197	10387
A Range				1963	A10 Super Flash			Frame		Spitfire			^ga7a-(\d+)$	748		99999
A Range				1963	A10 Super Flash			Frame		RGS					^ga10-(\d+)$	390		1913
A Range				1963	A10 Super Flash			Engine		Engine				^da10sr-(\d+)$	10388	99999
A Range				1963	A10 Super Flash			Frame		RGS					^ga10-(\d+)$	1914	99999
#=================================================================================================================================
#Class				Year	Model					Part Type	Part Description	Regex			Range Start	Range End
#=================================================================================================================================
#Sorted by model
A Range				1962	A50						Engine		Engine				^a50-(\d+)$		101		822
A Range				1963	A50						Engine		Engine				^a50-(\d+)$		823		2287
A Range				1964	A50						Engine		Engine				^a50a-(\d+)$	101		685
A Range				1964	A50						Engine		Engine				^a50a-(\d+)$	686		99999
A Range				1964	A50 (Police)			Engine		Engine				^a50ap-(\d+)$	101		120
A Range				1965	A50 (Police)			Engine		Engine				^a50ap-(\d+)$	121		99999
A Range				1962	A65						Engine		Engine				^a65-(\d+)$		101		1946
A Range				1963	A65						Engine		Engine				^a65-(\d+)$		1947	99999
A Range				1964	A65						Engine		Engine				^a65a-(\d+)$	101		1133
A Range				1964	A65						Engine		Engine				^a65a-(\d+)$	1134	99999
A Range				1964	A65 (Police)			Engine		Engine				^a65ap-(\d+)$	101		266
A Range				1965	A65 (Police)			Engine		Engine				^a65ap-(\d+)$	267		99999
A Range				1962	A65R					Engine		Engine				^a65-(\d+)$		101		1946
A Range				1963	A65R					Engine		Engine				^a65-(\d+)$		1947	99999
A Range				1964	A65R					Engine		Engine				^a65a-(\d+)$	101		1133
A Range				1965	A65R					Engine		Engine				^a65a-(\d+)$	1134	9999
A Range				1964	A65R (Rev-counter)		Engine		Engine				^a65c-(\d+)$	101		1081
A Range				1965	A65R (Rev-counter)		Engine		Engine				^a65c-(\d+)$	1082	99999
A Range				1964	A65T/R					Engine		Engine				^a65b-(\d+)$	101		99999
A Range				1962	Model above frame		Engine		Engine				^a50-(\d+)$		101		2287
A Range				1963	Model above frame		Engine		Engine				^a50-(\d+)$		2288	5500
A Range				1964	Model above frame		Engine		Engine				^a50-(\d+)$		5501	8436
A Range				1965	Model above frame		Engine		Engine				^a50-(\d+)$		8437	99999
A Range				1962	Above rod brake			Engine		Engine				^a50a-(\d+)$	101		685
A Range				1963	Above rod brake			Engine		Engine				^a50-(\d+)$		2701	5500
A Range				1964	Model below frame		Engine		Engine				^a50b-(\d+)$	101		4000
A Range				1965	Model below frame		Engine		Engine				^a50b-(\d+)$	4001	99999
A Range				1964	A50C (USA)				Engine		Engine				^a50b-(\d+)$	101		4000
A Range				1965	A50C (USA)				Engine		Engine				^a50d-(\d+)$	101		4000
A Range				1964	A65L/R					Engine		Engine				^a65d-(\d+)$	101		1741
A Range				1965	A65L/R					Engine		Engine				^a65d-(\d+)$	1742	99999
A Range				1964	A65SH					Engine		Engine				^a65e-(\d+)$	101		700
A Range				1965	A65SH					Engine		Engine				^a65e-(\d+)$	701		99999
A Range				1965	A50CC (USA)				Engine		Engine				^a50b-(\d+)$	507		99999
A Range				1965	A50C					Engine		Engine				^a50dc-(\d+)$	101		99999
A Range				1965	A50CC (UK)				Engine		Engine				^a50dc-(\d+)$	101		99999
A Range				1965	A65L					Engine		Engine				^a65dc-(\d+)$	2158	99999
A Range				1965	A65LC					Engine		Engine				^a65dc-(\d+)$	2158	99999
A Range				1966	A50 Royal Star			Engine		Engine				^a50r-(\d+)$	101		99999
A Range				1967	A50 Royal Star			Engine		Engine				^a50ra-(\d+)$	101		99999
A Range				1968	A50 Royal Star			Engine		Engine				^a50rb-(\d+)$	101		99999
A Range				1969	A50 Royal Star			Engine		Engine				^a50rc-(\d+)$	101		99999
A Range				1966	A50 Royal Star			Frame		Frame				^a50c-(\d+)$	101		99999
A Range				1967	A50 Royal Star			Frame		Frame				^a50ra-(\d+)$	101		99999
A Range				1968	A50 Royal Star			Frame		Frame				^a50rb-(\d+)$	101		99999
A Range				1969	A50 Royal Star			Frame		Frame				^a50rc-(\d+)$	101		99999
A Range				1966	A50 Wasp				Engine		Engine				^a50w-(\d+)$	101		99999
A Range				1967	A50 Wasp				Engine		Engine				^a50wa-(\d+)$	101		99999
A Range				1968	A50 Wasp				Engine		Engine				^a50wb-(\d+)$	101		99999
A Range				1969	A50 Wasp				Engine		Engine				^a50wc-(\d+)$	101		99999
A Range				1966	A50 Wasp				Frame		Frame				^a50c-(\d+)$	101		99999
A Range				1967	A50 Wasp				Frame		Frame				^a50wa-(\d+)$	101		99999
A Range				1968	A50 Wasp				Frame		Frame				^a50wb-(\d+)$	101		99999
A Range				1969	A50 Wasp				Frame		Frame				^a50wc-(\d+)$	101		99999
A Range				1966	A50 Thunderbolt			Engine		Engine				^a50t-(\d+)$	101		99999
A Range				1967	A50 Thunderbolt			Engine		Engine				^a50ta-(\d+)$	101		99999
A Range				1968	A50 Thunderbolt			Engine		Engine				^a50tb-(\d+)$	101		99999
A Range				1969	A50 Thunderbolt			Engine		Engine				^a50tc-(\d+)$	101		99999
A Range				1966	A50 Thunderbolt			Frame		Frame				^a50c-(\d+)$	101		99999
A Range				1967	A50 Thunderbolt			Frame		Frame				^a50ta-(\d+)$	101		99999
A Range				1968	A50 Thunderbolt			Frame		Frame				^a50tb-(\d+)$	101		99999
A Range				1969	A50 Thunderbolt			Frame		Frame				^a50tc-(\d+)$	101		99999
A Range				1966	A50 Lightning			Engine		Engine				^a50l-(\d+)$	101		99999
A Range				1967	A50 Lightning			Engine		Engine				^a50la-(\d+)$	101		99999
A Range				1968	A50 Lightning			Engine		Engine				^a50lb-(\d+)$	101		99999
A Range				1969	A50 Lightning			Engine		Engine				^a50lc-(\d+)$	101		99999
A Range				1966	A50 Lightning			Frame		Frame				^a50c-(\d+)$	101		99999
A Range				1967	A50 Lightning			Frame		Frame				^a50la-(\d+)$	101		99999
A Range				1968	A50 Lightning			Frame		Frame				^a50lb-(\d+)$	101		99999
A Range				1969	A50 Lightning			Frame		Frame				^a50lc-(\d+)$	101		99999
A Range				1966	A50 Hornet				Engine		Engine				^a50h-(\d+)$	101		99999
A Range				1967	A50 Hornet				Engine		Engine				^a50ha-(\d+)$	101		99999
A Range				1968	A50 Hornet				Engine		Engine				^a50hb-(\d+)$	101		99999
A Range				1969	A50 Hornet				Engine		Engine				^a50hc-(\d+)$	101		99999
A Range				1966	A50 Hornet				Frame		Frame				^a50c-(\d+)$	101		99999
A Range				1967	A50 Hornet				Frame		Frame				^a50ha-(\d+)$	101		99999
A Range				1968	A50 Hornet				Frame		Frame				^a50hb-(\d+)$	101		99999
A Range				1969	A50 Hornet				Frame		Frame				^a50hc-(\d+)$	101		99999
A Range				1968	A50 Firebird			Engine		Engine				^a50fb-(\d+)$	101		99999
A Range				1969	A50 Firebird			Engine		Engine				^a50fc-(\d+)$	101		99999
A Range				1968	A50 Firebird			Frame		Frame				^a50fb-(\d+)$	101		99999
A Range				1969	A50 Firebird			Frame		Frame				^a50fc-(\d+)$	101		99999
A Range				1966	A50 Spitfire			Engine		Engine				^a50s-(\d+)$	101		99999
A Range				1967	A50 Spitfire			Engine		Engine				^a50sa-(\d+)$	101		99999
A Range				1968	A50 Spitfire			Engine		Engine				^a50sb-(\d+)$	101		99999
A Range				1966	A50 Spitfire			Frame		Frame				^a50c-(\d+)$	101		99999
A Range				1967	A50 Spitfire			Frame		Frame				^a50sa-(\d+)$	101		99999
A Range				1968	A50 Spitfire			Frame		Frame				^a50sb-(\d+)$	101		99999
#=================================================================================================================================
#Class				Year	Model					Part Type	Part Description	Regex			Range Start	Range End
#=================================================================================================================================
Scooter				1959	Twin engine				Engine		Engine				^w(\d+)$		101		3200
Scooter				1959	Twin engine				Frame		Frame				^(\d+)b$		101		4000
Scooter				1960	Single engine			Engine		Engine				^s-(\d+)$		101		6719
Scooter				1960	Twin engine				Engine		Engine				^w(\d+)$		3201	11789
Scooter				1960	Single engine			Frame		Frame				^(\d+)$			4001	18799
Scooter				1960	Twin engine				Frame		Frame				^(\d+)b$		4001	18799
Scooter				1961	Single engine			Engine		Engine				^s-(\d+)$		6720	11406
Scooter				1961	Twin engine				Engine		Engine				^w(\d+)$		11790	17799
Scooter				1961	Single engine			Frame		Frame				^(\d+)b$		18800	30139
Scooter				1961	Twin engine				Frame		Frame				^(\d+)b$		18800	30139
Scooter				1962	Single engine			Engine		Engine				^s-(\d+)$		11407	12497
Scooter				1962	Twin engine				Engine		Engine				^w(\d+)$		17800	18484
Scooter				1962	Single engine			Frame		Frame				^(\d+)b$		30140	31824
Scooter				1962	Twin engine				Frame		Frame				^(\d+)b$		30140	31824
Scooter				1963	Single engine			Engine		Engine				^s-(\d+)$		12498	13262
Scooter				1963	Twin engine				Engine		Engine				^w(\d+)$		18485	99999
Scooter				1963	Single engine			Frame		Frame				^(\d+)b$		31825	33660
Scooter				1963	Twin engine				Frame		Frame				^(\d+)b$		31825	33660
Scooter				1964	Single engine			Engine		Engine				^s-(\d+)$		13263	13575
Scooter				1964	Single engine			Frame		Frame				^(\d+)b$		101		101
Scooter				1965	Single engine			Engine		Engine				^s-(\d+)$		13576	99999
Scooter				1965	Single engine			Frame		Frame				^(\d+)b$		33661	34300
#=================================================================================================================================
#Class				Year	Model					Part Type	Part Description	Regex			Range Start	Range End
#=================================================================================================================================
Dandy and Beagle	1957	Dandy engine			Engine		Engine				^dse-(\d+)$		101		11000
Dandy and Beagle	1957	Dandy frame				Frame		Frame				^ds-(\d+)$		101		11500
Dandy and Beagle	1958	Dandy engine			Engine		Engine				^dse-(\d+)$		11001	14461
Dandy and Beagle	1958	Dandy frame				Frame		Frame				^ds-(\d+)$		11501	15164
Dandy and Beagle	1959	Dandy engine			Engine		Engine				^dse-(\d+)$		14462	17900
Dandy and Beagle	1959	Dandy frame				Frame		Frame				^ds-(\d+)$		15165	18000
Dandy and Beagle	1960	Dandy engine			Engine		Engine				^dse-(\d+)$		17901	21650
Dandy and Beagle	1960	Dandy frame				Frame		Frame				^ds-(\d+)$		18001	21800
Dandy and Beagle	1961	Dandy engine			Engine		Engine				^dse-(\d+)$		21651	22163
Dandy and Beagle	1961	Dandy frame				Frame		Frame				^ds-(\d+)$		21801	22267
Dandy and Beagle	1962	Dandy engine			Engine		Engine				^dse-(\d+)$		22164	99999
Dandy and Beagle	1962	Dandy frame				Frame		Frame				^ds-(\d+)$		22268	99999
Beagle and Beagle	1964	Beagle engine			Engine		Engine				^k1-(\d+)$		101		3315
Beagle and Beagle	1964	Beagle frame			Frame		Frame				^k1-(\d+)$		101		3315
Beagle and Beagle	1965	Beagle engine			Engine		Engine				^k1-(\d+)$		3507	99999
Beagle and Beagle	1965	Beagle frame			Frame		Frame				^k1-(\d+)$		3315	3507
